TEST CONDITIONS,,,,,,RESULTS,,,,,,,,,,
Test Time (s),PTDC (%),Task Type,Priority Scheme,RDC (%),,Avg. Lat. (ms),Max. Lat. (ms),Avg. Throughput (bps),PER (%),Max. Turnaround Time (ms),Avg. Turnaround Time (ms),Max. Wait Time (ms),Avg. Wait Time (ms),Avg.  Exec. Time (ms),Num. Rcv. Pckts.,Num. Miss. Pckts.
180,50,1,1,10,,276,490,1507,1.62,5.52,2.118,3.484,0.082,2.036,848,14
180,25,1,1,10,,276,494,1512,0.93,4.467,2.118,2.433,0.084,2.034,851,8
180,5,1,1,10,,274,479,1525,2.17,3.613,2.12,1.582,0.089,2.031,858,19
180,50,2,1,10,,279,502,1498,3.44,14.426,10.333,4.403,0.31,10.023,843,30
180,25,2,1,10,,277,512,1514,1.39,14.589,10.336,4.566,0.313,10.023,852,12
180,5,2,1,10,,276,498,1511,2.19,13.818,10.284,3.812,0.278,10.006,850,19
180,50,3,1,10,,273,465,1528,1.15,55.386,50.935,5.746,1.295,49.64,860,10
180,25,3,1,10,,274,504,1544,0.8,55.113,50.022,6.414,1.323,48.699,869,7
180,5,3,1,10,,292,588,1475,2.24,53.372,51.314,3.335,1.277,50.037,830,19
180,50,1,2,10,,289,551,1420,2.68,3.798,2.109,1.762,0.073,2.036,799,22
180,25,1,2,10,,288,572,1454,2.04,4.5,2.101,2.466,0.067,2.034,818,17
180,5,1,2,10,,278,507,1520,1.61,3.486,2.115,1.452,0.081,2.034,855,14
180,50,2,2,10,,288,575,1447,2.51,14.05,10.309,4.023,0.282,10.027,814,21
180,25,2,2,10,,292,508,1385,3.47,13.59,10.316,3.561,0.287,10.029,779,28
180,5,2,2,10,,273,499,1536,0.8,12.844,10.288,2.838,0.282,10.006,864,7
180,50,3,2,10,,273,465,1534,0.35,54.57,51.448,4.51,1.388,50.06,863,3
180,25,3,2,10,,280,578,1481,2.8,54.649,51.297,4.597,1.245,50.052,833,24
180,5,3,2,10,,272,490,1555,0.91,53.54,50.839,4.029,1.328,49.511,875,8
180,50,1,3,10,,367,884,622,34.09,2.391,2.041,0.36,0.01,2.031,350,181
180,25,1,3,10,,330,744,824,28.83,2.392,2.04,0.362,0.01,2.03,464,188
180,5,1,3,10,,316,10462,1187,5.78,2.576,2.044,0.545,0.013,2.031,668,41
180,50,2,3,10,,637,1387,32,92,10.407,10.027,0.398,0.018,10.009,18,273
180,25,2,3,10,,347,613,645,41.26,10.216,10.027,0.205,0.016,10.011,363,255
180,5,2,3,10,,330,6455,1153,9.07,10.217,10.053,0.201,0.037,10.016,649,57
180,50,3,3,10,,698,6846,257,21.62,50.28,50.002,0.315,0.037,49.965,145,40
180,25,3,3,10,,503,8389,670,9.38,50.362,49.884,0.509,0.031,49.853,377,39
180,5,3,3,10,,342,10362,1145,6.12,50.149,50.009,0.181,0.041,49.968,644,42
,,,,,,,,,,,,,,,,
180,50,1,1,15,,,,,,,,,,,,
180,25,1,1,15,,,,,,,,,,,,
180,5,1,1,15,,209,315,1832,0.58,3.497,2.133,1.462,0.098,2.035,1031,6
180,50,2,1,15,,,,,,,,,,,,
180,25,2,1,15,,,,,,,,,,,,
180,5,2,1,15,,209,310,1840,0.67,12.82,10.442,2.808,0.43,10.012,1035,7
180,50,3,1,15,,,,,,,,,,,,
180,25,3,1,15,,,,,,,,,,,,
180,5,3,1,15,,209,324,1836,0.77,53.548,51.243,4.032,1.727,49.516,1033,8
180,50,1,2,15,,,,,,,,,,,,
180,25,1,2,15,,,,,,,,,,,,
180,5,1,2,15,,210,472,1820,1.25,3.587,2.114,1.553,0.08,2.034,1024,13
180,50,2,2,15,,,,,,,,,,,,
180,25,2,2,15,,,,,,,,,,,,
180,5,2,2,15,,209,397,1834,0.77,12.737,10.378,2.723,0.364,10.014,1032,8
180,50,3,2,15,,,,,,,,,,,,
180,25,3,2,15,,,,,,,,,,,,
180,5,3,2,15,,209,313,1843,0.29,53.593,51.808,3.507,1.722,50.086,1037,3
180,50,1,3,15,,,,,,,,,,,,
180,25,1,3,15,,,,,,,,,,,,
180,5,1,3,15,,213,406,1692,4.23,2.249,2.046,0.214,0.011,2.035,952,42
180,50,2,3,15,,,,,,,,,,,,
180,25,2,3,15,,,,,,,,,,,,
180,5,2,3,15,,227,384,1595,3.76,10.235,10.01,0.246,0.021,9.989,897,35
180,50,3,3,15,,,,,,,,,,,,
180,25,3,3,15,,,,,,,,,,,,
180,5,3,3,15,,257,8302,1367,5.88,50.165,50.014,0.197,0.046,49.968,769,48
,,,,,,,,,,,,,,,,
180,50,1,1,20,,,,,,,,,,,,
180,25,1,1,20,,,,,,,,,,,,
180,5,1,1,20,,146,276,2437,0.36,3.589,2.143,1.554,0.108,2.035,1371,5
180,50,2,1,20,,,,,,,,,,,,
180,25,2,1,20,,,,,,,,,,,,
180,5,2,1,20,,146,274,2432,0.44,12.157,10.501,2.142,0.486,10.015,1368,6
180,50,3,1,20,,,,,,,,,,,,
180,25,3,1,20,,,,,,,,,,,,
180,5,3,1,20,,146,260,2446,0.07,53.5,52.244,3.415,2.159,50.085,1376,1
180,50,1,2,20,,,,,,,,,,,,
180,25,1,2,20,,,,,,,,,,,,
180,5,1,2,20,,145,270,2421,0.95,3.667,2.175,1.625,0.133,2.042,1362,13
180,50,2,2,20,,,,,,,,,,,,
180,25,2,2,20,,,,,,,,,,,,
180,5,2,2,20,,146,260,2430,0.51,12.561,10.5,2.52,0.459,10.041,1367,7
180,50,3,2,20,,,,,,,,,,,,
180,25,3,2,20,,,,,,,,,,,,
180,5,3,2,20,,145,281,2435,0.51,53.619,52.345,3.498,2.224,50.121,1370,7
180,50,1,3,20,,,,,,,,,,,,
180,25,1,3,20,,,,,,,,,,,,
180,5,1,3,20,,155,10139,2184,3.15,2.257,2.051,0.218,0.012,2.039,1229,40
180,50,2,3,20,,,,,,,,,,,,
180,25,2,3,20,,,,,,,,,,,,
180,5,2,3,20,,154,341,1876,12.59,10.194,10.038,0.182,0.026,10.012,1055,152
180,50,3,3,20,,,,,,,,,,,,
180,25,3,3,20,,,,,,,,,,,,
180,5,3,3,20,,163,2308,1909,3.33,50.206,50.006,0.238,0.038,49.968,1074,37